[2022-03-21 9:09:23] 200 GET : /entry?id=16 0,005ms.
[2022-03-21 9:09:24] 200 GET : /category?id=7 0,012ms.
[2022-03-21 9:09:24] 304 GET : /entry?id=16 0,007ms.
[2022-03-21 9:09:26] 200 GET : /category?id=1 0,006ms.
[2022-03-21 9:09:27] 304 GET : /entry?id=6 0,005ms.
[2022-03-21 9:10:10] 302 GET : /logout 0,006ms.
[2022-03-21 9:10:10] 200 GET : / 0,004ms.
[2022-03-21 9:10:14] 302 POST : /login 0,006ms.
[2022-03-21 9:10:14] 200 GET : / 0,005ms.
[2022-03-21 9:10:18] 304 GET : /category?id=1 0,006ms.
[2022-03-21 9:10:19] 304 GET : / 0,007ms.
[2022-03-21 9:10:21] 304 GET : /create-entries 0,005ms.
[2022-03-21 9:16:36] 302 GET : /logout 0,073ms.
[2022-03-21 9:16:36] 200 GET : / 0,008ms.
[2022-03-21 9:17:06] 302 POST : /login 0,005ms.
[2022-03-21 9:17:06] 200 GET : / 0,009ms.
[2022-03-21 9:17:11] 200 GET : /entries 0,011ms.
[2022-03-21 9:17:21] 200 GET : /entry?id=10 0,036ms.
[2022-03-21 9:17:22] 200 GET : /edit-entry?id=10 0,006ms.
[2022-03-21 9:17:56] 302 POST : /update-entries?id=10 0,008ms.
[2022-03-21 9:17:56] 200 GET : /edit-entry?id=10 0,007ms.
[2022-03-21 9:17:59] 200 GET : /category?id=6 0,008ms.
[2022-03-21 9:18:10] 302 GET : /logout 0,01ms.
[2022-03-21 9:18:10] 200 GET : / 0,008ms.
